|--------------------|--------------------|--------------------|--------------------|-----------|-----------|--------------|
| 29.655018666907296 | 30.028079901729306 |  29.50579313798384 | 29.844940185546875 |   5463200 |       0.0 |            0 |
|--------------------|--------------------|--------------------|--------------------|-----------|-----------|--------------|
| 30.068771485859465 | 30.068771485859465 |  29.31586480137464 | 29.790668487548828 |   4702700 |       0.0 |            0 |
|--------------------|--------------------|--------------------|--------------------|-----------|-----------|--------------|
| 29.376917702659803 | 29.878853875709844 |  29.20055979186859 |  29.56683921813965 |   3574800 |       0.0 |            0 |
|--------------------|--------------------|--------------------|--------------------|-----------|-----------|--------------|
|  29.78388818206217 |  29.84493474299046 | 28.976719287553582 |  29.01063346862793 |   3742600 |       0.0 |            0 |
|--------------------|--------------------|--------------------|--------------------|-----------|-----------|--------------|
| 28.773231823889656 | 29.302302932540925 | 27.199589864154746 | 29.268388748168945 |   6096500 |       0.0 |            0 |
|--------------------|--------------------|--------------------|--------------------|-----------|-----------|--------------|
|  29.15307283034214 |  29.50578598479665 |  28.82749205411167 | 29.309080123901367 |   4078500 |       0.0 |            0 |
|--------------------|--------------------|--------------------|--------------------|-----------|-----------|--------------|
|  29.43795675097831 |  29.50578510703459 |   28.9495843074181 | 29.173419952392578 |   3457700 |       0.0 |            0 |
|--------------------|--------------------|--------------------|--------------------|-----------|-----------|--------------|
| 29.146285942002606 | 29.546479394751838 |  28.91566594232533 | 29.532913208007812 |   3644900 |       0.0 |            0 |
|--------------------|--------------------|--------------------|--------------------|-----------|-----------|--------------|
| 29.546492237903134 |  29.72963195732555 |   29.1734284089945 |  29.19377899169922 |   3663300 |       0.0 |            0 |
|--------------------|--------------------|--------------------|--------------------|-----------|-----------|--------------|
|  28.92924535705584 | 29.017421729982576 | 27.749012445516275 | 27.850757598876953 |   7474900 |       0.0 |            0 |
|--------------------|--------------------|--------------------|--------------------|-----------|-----------|--------------|
|  28.25772255350262 |  28.96993060033221 | 27.945707993937013 | 28.908884048461914 |   9825700 |       0.0 |            0 |
|--------------------|--------------------|--------------------|--------------------|-----------|-----------|--------------|
| 28.535827559553645 | 28.759665815166283 | 28.027107074055326 | 28.413734436035156 |   6042400 |       0.0 |            0 |
|--------------------|--------------------|--------------------|--------------------|-----------|-----------|--------------|
|  28.59009339710816 | 29.010634956467523 | 28.223814012753408 | 28.915674209594727 |   4686900 |       0.0 |            0 |
|--------------------|--------------------|--------------------|--------------------|-----------|-----------|--------------|
| 29.234466736926127 | 29.580398082987386 | 29.186986369817475 |  29.42439079284668 |   4733700 |       0.0 |            0 |
|--------------------|--------------------|--------------------|--------------------|-----------|-----------|--------------|
| 29.546480707187463 |  29.83136287900956 | 28.990279963404223 |  29.25481414794922 |   5163900 |       0.0 |            0 |
|--------------------|--------------------|--------------------|--------------------|-----------|-----------|--------------|
|  28.84784118005222 |  29.14629217729753 | 28.027106112599846 | 28.040672302246094 |  10753100 |       0.0 |            0 |
|--------------------|--------------------|--------------------|--------------------|-----------|-----------|--------------|
| 28.081367197154048 |  28.44086211954374 | 27.857528978505986 |  28.22380828857422 |   4588200 |       0.0 |            0 |
|--------------------|--------------------|--------------------|--------------------|-----------|-----------|--------------|
|  28.20346732968651 | 28.874976978020143 |  28.20346732968651 |  28.63079071044922 |   4365900 |       0.0 |            0 |
|--------------------|--------------------|--------------------|--------------------|-----------|-----------|--------------|
| 28.406953905071184 |  28.69862053679901 | 28.223814211603504 |  28.64435577392578 |   2417500 |       0.0 |            0 |
|--------------------|--------------------|--------------------|--------------------|-----------|-----------|--------------|
|  28.79357353635487 | 29.051325915672184 |  28.69861281436576 | 28.976713180541992 |   2743700 |       0.0 |            0 |
|--------------------|--------------------|--------------------|--------------------|-----------|-----------|--------------|
| 29.098809767402265 |  29.63465998969157 | 29.044545012621317 | 29.627878189086914 |   3978300 |       0.0 |            0 |
|--------------------|--------------------|--------------------|--------------------|-----------|-----------|--------------|
| 29.844931850591376 | 30.000939138402977 |  29.33621142131993 | 29.383691787719727 |   3805700 |       0.0 |            0 |
|--------------------|--------------------|--------------------|--------------------|-----------|-----------|--------------|
| 29.410832350737305 | 29.926334724049507 | 29.410832350737305 | 29.783893585205078 |   3080100 |       0.0 |            0 |
|--------------------|--------------------|--------------------|--------------------|-----------|-----------|--------------|
|  30.07823650943024 | 30.194607925699827 | 29.660675552144916 | 29.968711853027344 |   4061400 |       0.4 |            0 |
|--------------------|--------------------|--------------------|--------------------|-----------|-----------|--------------|
| 30.071391617847866 |  30.87913691808954 | 29.982402020696167 | 30.838064193725586 |   5693900 |       0.0 |            0 |
|--------------------|--------------------|--------------------|--------------------|-----------|-----------|--------------|
| 30.769608656571016 | 30.783299563087038 |  30.48895160117613 | 30.543712615966797 |   3265800 |       0.0 |            0 |
|--------------------|--------------------|--------------------|--------------------|-----------|-----------|--------------|
| 30.488956602174984 |  30.64639813602369 | 29.913951490553078 |  29.98925018310547 |   3714500 |       0.0 |            0 |
|--------------------|--------------------|--------------------|--------------------|-----------|-----------|--------------|
| 30.098767611034045 | 30.221983149014292 | 29.941326115008888 | 30.091920852661133 |   3645400 |       0.0 |            0 |
|--------------------|--------------------|--------------------|--------------------|-----------|-----------|--------------|
|  30.09192301703264 |  30.50264237693233 | 29.989245135512775 | 30.338354110717773 |   3043700 |       0.0 |            0 |
|--------------------|--------------------|--------------------|--------------------|-----------|-----------|--------------|
|  30.45473235161583 |  30.74223361798663 |  30.20145444216652 |  30.47526741027832 |   4317900 |       0.0 |            0 |
|--------------------|--------------------|--------------------|--------------------|-----------|-----------|--------------|
| 30.324664158484754 |  30.87228737764296 |  29.98239932010169 | 30.783300399780273 |   3810500 |       0.0 |            0 |
|--------------------|--------------------|--------------------|--------------------|-----------|-----------|--------------|
| 30.749083049673402 | 30.865454495058916 | 30.276758340374926 |  30.33152198791504 |   3535100 |       0.0 |            0 |
|--------------------|--------------------|--------------------|--------------------|-----------|-----------|--------------|
|  30.31096992618868 | 30.372577694789598 | 29.701738998509136 |  29.87287139892578 |   3088100 |       0.0 |            0 |
|--------------------|--------------------|--------------------|--------------------|-----------|-----------|--------------|
|   29.7154351163613 |  30.41365574589079 | 29.674362392998272 |  30.28359603881836 |   4088500 |       0.0 |            0 |
|--------------------|--------------------|--------------------|--------------------|-----------|-----------|--------------|
|  30.81067660196109 |  30.88597527687659 | 30.235671625020185 |  30.66008186340332 |   4491100 |       0.0 |            0 |
|--------------------|--------------------|--------------------|--------------------|-----------|-----------|--------------|
|  30.61216378328298 |  31.11187006545353 | 30.441031387555814 |  30.84490394592285 |   4326200 |       0.0 |            0 |
|--------------------|--------------------|--------------------|--------------------|-----------|-----------|--------------|
|  30.85860418328668 | 30.961282085011266 | 30.256217236994885 | 30.598482131958008 |   3619700 |       0.0 |            0 |
|--------------------|--------------------|--------------------|--------------------|-----------|-----------|--------------|
| 30.694313345283742 |  31.42675995100475 | 30.673778288892553 |  31.13241195678711 |   6020600 |       0.0 |            0 |
|--------------------|--------------------|--------------------|--------------------|-----------|-----------|--------------|
| 30.899678787653265 | 31.419922965876207 | 30.831226843227544 | 30.974977493286133 |   3652400 |       0.0 |            0 |
|--------------------|--------------------|--------------------|--------------------|-----------|-----------|--------------|
| 30.879143257763527 | 31.091345849026112 | 30.673784816329885 |  31.02289390563965 |   3190700 |       0.0 |            0 |
|--------------------|--------------------|--------------------|--------------------|-----------|-----------|--------------|
| 30.838067849305414 | 31.057117182665408 | 30.447886061053303 | 30.605327606201172 |   2953500 |       0.0 |            0 |
|--------------------|--------------------|--------------------|--------------------|-----------|-----------|--------------|
| 30.406809286610525 |  30.79699363422798 | 30.406809286610525 | 30.721694946289062 |   4980600 |       0.0 |            0 |
